NUM,FECHA,PERSONA,TEMA,ARCHIVO,UBICACION_ORIGINAL,EXT,TAM_KB
112,2026-08-16 (mtime),COMPARTIDO,Auditoría,00_INDICE_AUDITORIA.md,AUDITORIA_GLOBAL\00_INDICE_AUDITORIA.md,.md,2.2
113,2026-08-16 (mtime),COMPARTIDO,Auditoría,01_MAPA_CARPETAS.md,AUDITORIA_GLOBAL\01_MAPA_CARPETAS.md,.md,8.5
114,2026-08-16 (mtime),COMPARTIDO,Auditoría,01_PROMPTS_PARA_AGENTES.md,AUDITORIA_GLOBAL\OTROS DOCUMENTOS POR ORDENAR\01_PROMPTS_PARA_AGENTES.md,.md,4.9
115,2026-08-16 (mtime),COMPARTIDO,Auditoría,02_INVENTARIO_ARCHIVOS.md,AUDITORIA_GLOBAL\02_INVENTARIO_ARCHIVOS.md,.md,7.8
116,2026-08-16 (mtime),COMPARTIDO,Auditoría,03_ANALISIS_DOCUMENTAL.md,AUDITORIA_GLOBAL\03_ANALISIS_DOCUMENTAL.md,.md,7.9
117,2026-08-16 (mtime),COMPARTIDO,Auditoría,04_MAPA_PERSONAS.md,AUDITORIA_GLOBAL\04_MAPA_PERSONAS.md,.md,3.6
118,2026-08-16 (mtime),COMPARTIDO,Auditoría,05_MAPA_EMPRESAS.md,AUDITORIA_GLOBAL\05_MAPA_EMPRESAS.md,.md,2.4
119,2026-08-16 (mtime),COMPARTIDO,Auditoría,06_MAPA_PROYECTOS.md,AUDITORIA_GLOBAL\06_MAPA_PROYECTOS.md,.md,3.1
120,2026-08-16 (mtime),COMPARTIDO,Contrato,07_MAPA_CONTRATOS.md,AUDITORIA_GLOBAL\07_MAPA_CONTRATOS.md,.md,1.8
121,2026-08-16 (mtime),COMPARTIDO,Auditoría,08_MAPA_MARKETING.md,AUDITORIA_GLOBAL\08_MAPA_MARKETING.md,.md,1.9
122,2026-08-16 (mtime),COMPARTIDO,Auditoría,09_MAPA_FINANCIERO.md,AUDITORIA_GLOBAL\09_MAPA_FINANCIERO.md,.md,1.6
123,2026-08-16 (mtime),COMPARTIDO,Auditoría,10_MAPA_OPERATIVO.md,AUDITORIA_GLOBAL\10_MAPA_OPERATIVO.md,.md,2.1
124,2026-08-16 (mtime),COMPARTIDO,Auditoría,11_MAPA_TECNOLOGICO.md,AUDITORIA_GLOBAL\11_MAPA_TECNOLOGICO.md,.md,1.8
